tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label
112,1919,Laron Profit,1999,1,1999-00,21,59,21,0.3559322033898305,draft
113,1919,Laron Profit,1999,2,2000-01,31,142,56,0.39436619718309857,draft
114,1921,Gordan Giricek,1999,4,2002-03,76,803,350,0.43586550435865506,draft
115,1924,Lee Nailon,1999,2,2000-01,37,136,66,0.4852941176470588,draft
116,1924,Lee Nailon,1999,3,2001-02,79,764,369,0.4829842931937173,draft
117,1924,Lee Nailon,1999,4,2002-03,34,190,84,0.4421052631578947,draft
118,1928,Todd MacCulloch,1999,1,1999-00,43,161,89,0.5527950310559007,draft
119,1928,Todd MacCulloch,1999,2,2000-01,55,185,109,0.5891891891891892,draft
120,1928,Todd MacCulloch,1999,3,2001-02,62,465,247,0.5311827956989247,draft
121,1928,Todd MacCulloch,1999,4,2002-03,38,238,123,0.5168067226890757,draft
122,1930,Lari Ketner,1999,1,1999-00,14,32,13,0.40625,draft
123,1934,Rodney Buford,1999,1,1999-00,29,151,62,0.4105960264900662,draft
124,1934,Rodney Buford,1999,2,2000-01,43,241,104,0.4315352697095436,draft
125,1934,Rodney Buford,1999,3,2001-02,63,592,258,0.4358108108108108,draft
126,1937,Tim Young,1999,1,1999-00,17,39,13,0.3333333333333333,draft
127,1938,Manu Ginobili,1999,4,2002-03,67,396,174,0.4393939393939394,draft
128,2030,Kenyon Martin,2000,1,2000-01,68,776,346,0.44587628865979384,draft
129,2030,Kenyon Martin,2000,2,2001-02,73,961,445,0.4630593132154006,draft
130,2030,Kenyon Martin,2000,3,2002-03,77,1080,509,0.47129629629629627,draft
131,2030,Kenyon Martin,2000,4,2003-04,65,900,439,0.48777777777777775,draft
132,2031,Stromile Swift,2000,1,2000-01,75,339,153,0.45132743362831856,draft
133,2031,Stromile Swift,2000,2,2001-02,66,611,293,0.4795417348608838,draft
134,2031,Stromile Swift,2000,3,2002-03,66,489,235,0.48057259713701433,draft
135,2031,Stromile Swift,2000,4,2003-04,77,571,268,0.46935201401050786,draft
136,2032,Darius Miles,2000,1,2000-01,79,629,318,0.505564387917329,draft
137,2032,Darius Miles,2000,2,2001-02,82,640,308,0.48125,draft
138,2032,Darius Miles,2000,3,2002-03,67,640,263,0.4109375,draft
139,2032,Darius Miles,2000,4,2003-04,77,752,365,0.4853723404255319,draft
140,2033,Marcus Fizer,2000,1,2000-01,72,645,278,0.4310077519379845,draft
141,2033,Marcus Fizer,2000,2,2001-02,76,846,371,0.4385342789598109,draft
142,2033,Marcus Fizer,2000,3,2002-03,38,383,178,0.46475195822454307,draft
143,2033,Marcus Fizer,2000,4,2003-04,44,349,134,0.3839541547277937,draft
144,2034,Mike Miller,2000,1,2000-01,80,845,368,0.43550295857988164,draft
145,2034,Mike Miller,2000,2,2001-02,63,802,351,0.4376558603491272,draft
146,2034,Mike Miller,2000,3,2002-03,65,859,373,0.4342258440046566,draft
147,2034,Mike Miller,2000,4,2003-04,65,616,270,0.4383116883116883,draft
148,2035,DerMarr Johnson,2000,1,2000-01,72,388,146,0.37628865979381443,draft
149,2035,DerMarr Johnson,2000,2,2001-02,69,540,214,0.3962962962962963,draft
150,2035,DerMarr Johnson,2000,4,2003-04,20,97,36,0.3711340206185567,draft
151,2036,Chris Mihm,2000,1,2000-01,57,391,173,0.4424552429667519,draft
152,2036,Chris Mihm,2000,2,2001-02,72,526,221,0.42015209125475284,draft
153,2036,Chris Mihm,2000,3,2002-03,52,287,116,0.40418118466898956,draft
154,2036,Chris Mihm,2000,4,2003-04,72,381,186,0.4881889763779528,draft
155,2037,Jamal Crawford,2000,1,2000-01,57,303,107,0.35313531353135313,draft
156,2037,Jamal Crawford,2000,2,2001-02,23,187,89,0.47593582887700536,draft
157,2037,Jamal Crawford,2000,3,2002-03,80,806,334,0.4143920595533499,draft
158,2037,Jamal Crawford,2000,4,2003-04,80,1315,508,0.38631178707224334,draft
159,2038,Joel Przybilla,2000,1,2000-01,19,35,12,0.34285714285714286,draft
160,2038,Joel Przybilla,2000,2,2001-02,58,142,76,0.5352112676056338,draft
161,2038,Joel Przybilla,2000,3,2002-03,23,46,18,0.391304347826087,draft
162,2038,Joel Przybilla,2000,4,2003-04,11,50,18,0.36,draft
163,2039,Keyon Dooling,2000,1,2000-01,76,362,148,0.4088397790055249,draft
164,2039,Keyon Dooling,2000,2,2001-02,14,57,22,0.38596491228070173,draft
165,2039,Keyon Dooling,2000,3,2002-03,55,329,128,0.3890577507598784,draft
166,2039,Keyon Dooling,2000,4,2003-04,56,351,137,0.3903133903133903,draft
167,2040,Jerome Moiso,2000,1,2000-01,15,30,12,0.4,draft
168,2040,Jerome Moiso,2000,3,2002-03,48,171,89,0.52046783625731,draft
169,2040,Jerome Moiso,2000,4,2003-04,20,84,40,0.47619047619047616,draft
170,2041,Etan Thomas,2000,2,2001-02,37,151,81,0.5364238410596026,draft
171,2041,Etan Thomas,2000,3,2002-03,32,124,61,0.49193548387096775,draft
172,2041,Etan Thomas,2000,4,2003-04,79,526,257,0.48859315589353614,draft
173,2042,Courtney Alexander,2000,1,2000-01,62,573,239,0.41710296684118675,draft
174,2042,Courtney Alexander,2000,2,2001-02,54,474,223,0.4704641350210971,draft
175,2042,Courtney Alexander,2000,3,2002-03,66,505,193,0.3821782178217822,draft
176,2044,Jason Collier,2000,3,2002-03,12,36,17,0.4722222222222222,draft
177,2044,Jason Collier,2000,4,2003-04,20,165,79,0.47878787878787876,draft
178,2045,Hedo Turkoglu,2000,1,2000-01,70,335,138,0.41194029850746267,draft
179,2045,Hedo Turkoglu,2000,2,2001-02,80,686,290,0.4227405247813411,draft
180,2045,Hedo Turkoglu,2000,3,2002-03,66,391,165,0.4219948849104859,draft
181,2045,Hedo Turkoglu,2000,4,2003-04,79,645,262,0.4062015503875969,draft
182,2046,Desmond Mason,2000,1,2000-01,75,437,189,0.43249427917620137,draft
183,2046,Desmond Mason,2000,2,2001-02,75,768,357,0.46484375,draft
184,2046,Desmond Mason,2000,3,2002-03,80,1015,457,0.45024630541871924,draft
185,2046,Desmond Mason,2000,4,2003-04,82,866,409,0.4722863741339492,draft
186,2047,Quentin Richardson,2000,1,2000-01,75,525,232,0.4419047619047619,draft
187,2047,Quentin Richardson,2000,2,2001-02,81,924,401,0.43398268398268397,draft
188,2047,Quentin Richardson,2000,3,2002-03,58,543,203,0.3738489871086556,draft
189,2047,Quentin Richardson,2000,4,2003-04,65,1067,425,0.3983130271790066,draft
190,2048,Jamaal Magloire,2000,1,2000-01,67,270,122,0.45185185185185184,draft
191,2048,Jamaal Magloire,2000,2,2001-02,82,413,227,0.549636803874092,draft
192,2048,Jamaal Magloire,2000,3,2002-03,82,634,305,0.4810725552050473,draft
193,2048,Jamaal Magloire,2000,4,2003-04,82,809,383,0.47342398022249693,draft
194,2049,Speedy Claxton,2000,2,2001-02,66,451,181,0.401330376940133,draft
195,2049,Speedy Claxton,2000,3,2002-03,28,145,67,0.46206896551724136,draft
196,2049,Speedy Claxton,2000,4,2003-04,60,524,224,0.42748091603053434,draft
197,2050,Morris Peterson,2000,1,2000-01,79,670,290,0.43283582089552236,draft
198,2050,Morris Peterson,2000,2,2001-02,63,765,336,0.4392156862745098,draft
199,2050,Morris Peterson,2000,3,2002-03,82,1070,421,0.39345794392523364,draft
200,2050,Morris Peterson,2000,4,2003-04,82,586,238,0.4061433447098976,draft
201,2051,Donnell Harvey,2000,2,2001-02,40,217,108,0.4976958525345622,draft
202,2051,Donnell Harvey,2000,3,2002-03,76,551,246,0.44646098003629764,draft
203,2051,Donnell Harvey,2000,4,2003-04,51,200,89,0.445,draft
204,2052,DeShawn Stevenson,2000,1,2000-01,35,91,31,0.34065934065934067,draft
205,2052,DeShawn Stevenson,2000,2,2001-02,65,369,143,0.3875338753387534,draft
206,2052,DeShawn Stevenson,2000,3,2002-03,54,284,114,0.4014084507042254,draft
207,2052,DeShawn Stevenson,2000,4,2003-04,80,871,376,0.4316877152698048,draft
208,2053,Dalibor Bagaric,2000,1,2000-01,22,65,17,0.26153846153846155,draft
209,2053,Dalibor Bagaric,2000,2,2001-02,48,178,72,0.4044943820224719,draft
210,2053,Dalibor Bagaric,2000,3,2002-03,9,26,8,0.3076923076923077,draft
211,2054,Jake Tsakalidis,2000,1,2000-01,53,215,101,0.4697674418604651,draft
212,2054,Jake Tsakalidis,2000,2,2001-02,64,400,190,0.475,draft
