PLAYER_ID,PLAYER_NAME,ceiling_comp_PLAYER_ID,ceiling_comp_PLAYER_NAME,ceiling_shot_embedding_distance,ceiling_pca_distance,ceiling_macro_role_match,ceiling_comp_supported,ceiling_comp_similarity_score
2590,Mo Williams,1717,Dirk Nowitzki,7.110462271044289,7.910566061830517,0,1,7.3904985978194695
2592,James Jones,959,Steve Nash,18.90289589490176,6.522452286752411,1,1,14.56974063204949
2594,Kyle Korver,959,Steve Nash,16.951946563526977,7.0704637147918215,0,1,13.493427566469673
2730,Dwight Howard,1503,Tracy McGrady,72.03011693729087,11.685888413547888,0,1,50.90963695398082
2731,Emeka Okafor,1503,Tracy McGrady,32.75983724206101,9.133070112676934,0,1,24.490468746776585
2732,Ben Gordon,959,Steve Nash,7.445501745716805,10.233259583138835,0,1,8.421216988814514
2733,Shaun Livingston,1717,Dirk Nowitzki,13.905473395534765,6.415336282196655,1,1,11.283925405866427
2734,Devin Harris,1503,Tracy McGrady,27.366138631109976,7.341984672497567,0,1,20.357684745595634
2735,Josh Childress,1503,Tracy McGrady,71.18390667795182,6.758479072727728,0,1,48.63500701612339
2736,Luol Deng,1503,Tracy McGrady,15.028115847715455,6.989971842725967,0,1,12.214765445969135
2737,Rafael Araujo,947,Allen Iverson,16.333231150933642,6.421877697984123,0,1,12.86425744240131
2738,Andre Iguodala,1503,Tracy McGrady,16.159070505272716,9.332831461507276,0,1,13.769886839954811
2739,Luke Jackson,951,Ray Allen,14.165847029398781,7.512200510549488,0,1,11.83707074780153
2740,Andris Biedrins,1503,Tracy McGrady,64.71900848234432,8.887826357555833,0,1,45.17809473866835
2741,Robert Swift,1503,Tracy McGrady,50.15854872632641,8.258435563851561,0,1,35.493509119460214
2742,Sebastian Telfair,1713,Vince Carter,10.169778994615848,7.371336351435465,1,1,9.190324069502715
2743,Kris Humphries,1503,Tracy McGrady,26.09218636463216,5.8554177899154,0,1,19.009317363481294
2744,Al Jefferson,947,Allen Iverson,17.88633162194171,9.64739927242936,0,1,15.002705299612387
2745,Kirk Snyder,947,Allen Iverson,19.985810110575656,3.5502687623966556,1,1,14.233370638713007
2746,Josh Smith,947,Allen Iverson,29.890792678967028,7.612123880247846,0,1,22.093258599415314
2747,JR Smith,1713,Vince Carter,8.636297657920425,6.844735184119485,0,1,8.009250792090096
2748,Dorell Wright,947,Allen Iverson,15.089468478683552,10.629152874792583,0,1,13.528358017321713
2749,Jameer Nelson,947,Allen Iverson,9.513572417245394,7.5097139041987,0,1,8.812221937679052
2751,Viktor Khryapa,977,Kobe Bryant,21.534080600441886,5.853959403424595,0,1,16.046038181485834
2752,Sergei Monia,977,Kobe Bryant,21.669956556205477,6.6886989793716545,0,1,16.426516404313638
2753,Delonte West,1718,Paul Pierce,10.076138093668051,6.045303558991366,1,1,8.66534600653121
2754,Tony Allen,947,Allen Iverson,16.445213043489805,3.876661890452848,1,1,12.04622013992687
2755,Kevin Martin,1713,Vince Carter,12.426862760498084,9.645298380864347,0,1,11.453315227626277
2756,Sasha Vujacic,959,Steve Nash,14.111911605315601,6.027525129271655,1,1,11.282376338700221
2757,Beno Udrih,1717,Dirk Nowitzki,7.944304945154228,6.432108697050338,1,1,7.4150362583178655
2758,David Harrison,1495,Tim Duncan,25.4617578018685,6.108755816628568,0,1,18.688207107034525
2760,Anderson Varejao,1503,Tracy McGrady,30.521171518375702,7.665133799529415,0,1,22.521558316779505
2761,Jackson Vroman,1503,Tracy McGrady,50.26905560754643,9.830163017962995,0,1,36.11544320119223
2763,Lionel Chalmers,1717,Dirk Nowitzki,17.22542366255562,6.013171365817438,0,1,13.301135358697257
2764,Donta Smith,977,Kobe Bryant,33.05346796315988,7.643470277695118,0,1,24.15996877324722
2766,Antonio Burks,947,Allen Iverson,14.58201024405313,8.798815793761074,0,1,12.55789218645091
2767,Royal Ivey,1713,Vince Carter,12.697074587472962,5.675067261674553,1,1,10.239372023443519
2768,Chris Duhon,1497,Chauncey Billups,12.545860895986003,8.7186564654699,1,1,11.206339345305366
2770,Justin Reed,1503,Tracy McGrady,18.220455250971824,5.827148814037234,0,1,13.882797998044717
2772,Trevor Ariza,1503,Tracy McGrady,59.21415573697079,3.791143404947726,0,1,39.81610142076271
2774,Bernard Robinson,977,Kobe Bryant,42.80267971210925,5.227633226506277,1,1,29.65141344214821
2775,Ha Ha,1503,Tracy McGrady,84.18389584928318,9.729822938653669,0,1,58.12497033056285
2776,Pape Sow,1503,Tracy McGrady,61.30426496599978,7.808542370779724,0,1,42.580762057672764
2779,Vassilis Spanoulis,1503,Tracy McGrady,18.162539316039094,6.7002817956098495,0,1,14.150749183888859
2782,Matt Freije,1718,Paul Pierce,21.699135166177,8.256391494529465,0,1,16.994174881100363
2784,Luis Flores,959,Steve Nash,31.25771994340047,9.069040855803896,0,1,23.49168226274167
101106,Andrew Bogut,1503,Tracy McGrady,58.25746243538665,7.240457603326991,0,1,40.40151074416577
101107,Marvin Williams,977,Kobe Bryant,13.148718881030314,6.2030160884566214,0,1,10.717722903629522
101108,Chris Paul,1713,Vince Carter,11.33173090281569,13.151438220275242,0,1,11.968628463926532
101109,Raymond Felton,947,Allen Iverson,9.068384602306764,9.98584794592313,0,1,9.389496772572492
101110,Martell Webster,1718,Paul Pierce,12.65462369189645,10.695527431829769,1,1,11.968940000873111
101111,Charlie Villanueva,947,Allen Iverson,8.885776860245807,6.660177219667133,0,1,8.10681698604327
101112,Channing Frye,1717,Dirk Nowitzki,11.555322331171668,5.948272034565519,0,1,9.592854727359516
101113,Ike Diogu,1713,Vince Carter,24.1138092533986,7.555163321779526,0,1,18.318283177331924
