PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,eligible_for_tensor,excluded_from_embedding_training_low_volume
2030,Kenyon Martin,2000,4,2003-04,65,900,439,0.48777777777777775,1,0
2031,Stromile Swift,2000,1,2000-01,75,339,153,0.45132743362831856,1,0
2031,Stromile Swift,2000,2,2001-02,66,611,293,0.4795417348608838,1,0
2031,Stromile Swift,2000,3,2002-03,66,489,235,0.48057259713701433,1,0
2031,Stromile Swift,2000,4,2003-04,77,571,268,0.46935201401050786,1,0
2032,Darius Miles,2000,1,2000-01,79,629,318,0.505564387917329,1,0
2032,Darius Miles,2000,2,2001-02,82,640,308,0.48125,1,0
2032,Darius Miles,2000,3,2002-03,67,640,263,0.4109375,1,0
2032,Darius Miles,2000,4,2003-04,77,752,365,0.4853723404255319,1,0
2033,Marcus Fizer,2000,1,2000-01,72,645,278,0.4310077519379845,1,0
2033,Marcus Fizer,2000,2,2001-02,76,846,371,0.4385342789598109,1,0
2033,Marcus Fizer,2000,3,2002-03,38,383,178,0.46475195822454307,1,0
2033,Marcus Fizer,2000,4,2003-04,44,349,134,0.3839541547277937,1,0
2034,Mike Miller,2000,1,2000-01,80,845,368,0.43550295857988164,1,0
2034,Mike Miller,2000,2,2001-02,63,802,351,0.4376558603491272,1,0
2034,Mike Miller,2000,3,2002-03,65,859,373,0.4342258440046566,1,0
2034,Mike Miller,2000,4,2003-04,65,616,270,0.4383116883116883,1,0
2035,DerMarr Johnson,2000,1,2000-01,72,388,146,0.37628865979381443,1,0
2035,DerMarr Johnson,2000,2,2001-02,69,540,214,0.3962962962962963,1,0
2035,DerMarr Johnson,2000,4,2003-04,20,97,36,0.3711340206185567,1,0
2036,Chris Mihm,2000,1,2000-01,57,391,173,0.4424552429667519,1,0
2036,Chris Mihm,2000,2,2001-02,72,526,221,0.42015209125475284,1,0
2036,Chris Mihm,2000,3,2002-03,52,287,116,0.40418118466898956,1,0
2036,Chris Mihm,2000,4,2003-04,72,381,186,0.4881889763779528,1,0
2037,Jamal Crawford,2000,1,2000-01,57,303,107,0.35313531353135313,1,0
2037,Jamal Crawford,2000,2,2001-02,23,187,89,0.47593582887700536,1,0
2037,Jamal Crawford,2000,3,2002-03,80,806,334,0.4143920595533499,1,0
2037,Jamal Crawford,2000,4,2003-04,80,1315,508,0.38631178707224334,1,0
2038,Joel Przybilla,2000,1,2000-01,19,35,12,0.34285714285714286,1,0
