tensor_index,PLAYER_ID,season_num,PLAYER_NAME,season_string,DRAFT_YEAR,games_with_shots,shot_attempts,shot_makes,fg_pct
136,2032,1,Darius Miles,2000-01,2000,79,629,318,0.505564387917329
137,2032,2,Darius Miles,2001-02,2000,82,640,308,0.48125
138,2032,3,Darius Miles,2002-03,2000,67,640,263,0.4109375
139,2032,4,Darius Miles,2003-04,2000,77,752,365,0.4853723404255319
140,2033,1,Marcus Fizer,2000-01,2000,72,645,278,0.4310077519379845
141,2033,2,Marcus Fizer,2001-02,2000,76,846,371,0.4385342789598109
142,2033,3,Marcus Fizer,2002-03,2000,38,383,178,0.46475195822454307
143,2033,4,Marcus Fizer,2003-04,2000,44,349,134,0.3839541547277937
144,2034,1,Mike Miller,2000-01,2000,80,845,368,0.43550295857988164
145,2034,2,Mike Miller,2001-02,2000,63,802,351,0.4376558603491272
146,2034,3,Mike Miller,2002-03,2000,65,859,373,0.4342258440046566
147,2034,4,Mike Miller,2003-04,2000,65,616,270,0.4383116883116883
148,2035,1,DerMarr Johnson,2000-01,2000,72,388,146,0.37628865979381443
149,2035,2,DerMarr Johnson,2001-02,2000,69,540,214,0.3962962962962963
150,2035,4,DerMarr Johnson,2003-04,2000,20,97,36,0.3711340206185567
151,2036,1,Chris Mihm,2000-01,2000,57,391,173,0.4424552429667519
152,2036,2,Chris Mihm,2001-02,2000,72,526,221,0.42015209125475284
153,2036,3,Chris Mihm,2002-03,2000,52,287,116,0.40418118466898956
154,2036,4,Chris Mihm,2003-04,2000,72,381,186,0.4881889763779528
155,2037,1,Jamal Crawford,2000-01,2000,57,303,107,0.35313531353135313
156,2037,2,Jamal Crawford,2001-02,2000,23,187,89,0.47593582887700536
157,2037,3,Jamal Crawford,2002-03,2000,80,806,334,0.4143920595533499
158,2037,4,Jamal Crawford,2003-04,2000,80,1315,508,0.38631178707224334
