PLAYER_ID,PLAYER_NAME,player_name_key,draft_year,INPUT_SEASON,FORECAST_SEASON,predicted_class,actual_class,label_known,is_correct,sleeper_probability,neutral_probability,bust_probability,confidence_rating,confidence_score,uncertainty_proxy,holdout_split_tag,actual_years5_7_perf_score_component_mean,predicted_years5_7_perf_score_component_mean,performance_pred_error_component_mean,actual_scoring_metric_score,actual_efficiency_metric_score,actual_playmaking_metric_score,actual_defense_metric_score,actual_control_metric_score,predicted_scoring_metric_score,predicted_efficiency_metric_score,predicted_playmaking_metric_score,predicted_defense_metric_score,predicted_control_metric_score,actual_years5_7_games_avg,actual_years5_7_minutes_avg,actual_years5_7_points_avg,actual_years5_7_rebounds_avg,actual_years5_7_assists_avg,boxscore_target_support_flag,performance_test_prediction_available,identity_source,classification_support_flag,forecast_support_flag,block1_ready_flag,deliverable3_block1_note
2760.0,Anderson Varejao,anderson varejao,2003,2004-2008,2008-2011,Bust,Neutral,1,0.0,0.0065929694,0.4861499,0.50725716,Low,0.50725716,0.49274284,Train,41.580927358055106,,,20.62988291799872,59.01535227358443,19.3283679113644,51.72723519818078,57.2037984891472,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
101154.0,Andray Blatche,andray blatche,2004,2005-2009,2009-2012,Bust,Neutral,1,0.0,0.00044335058,0.045032665,0.954524,High,0.954524,0.04547599999999996,Test,39.148202666030755,37.8257416,-1.3224614000000017,49.4706263263672,21.810628438013328,12.822573458703651,63.23456968087632,48.40261542619328,39.75036,44.66497,33.067375,43.27933,28.366673,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,1.0,player_id_all_stats,label_known,test_prediction_available,ready_for_name_or_id_merge,classification probabilities plus test-set performance forecast available
203083.0,Andre Drummond,andre drummond,2012,2012-2016,2016-2019,Sleeper,Sleeper,1,1.0,0.97853744,0.019605849,0.0018567613,High,0.97853744,0.02146256000000002,Train,58.50701470512515,,,48.20747276416067,43.13865705115107,12.029582056900129,89.15936165341388,100.0,,,,,,79.33333333333333,2560.3866666666668,1215.3333333333333,1198.0,146.33333333333334,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
2738.0,Andre Iguodala,andre iguodala,2003,2004-2008,2008-2011,Sleeper,Sleeper,1,1.0,0.9625686,0.036818836,0.0006126205,High,0.9625686,0.037431400000000004,Train,47.77881344013534,,,42.06128396614652,43.18317941678024,54.99078739018639,75.52747392078048,23.131342506783067,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
1889.0,Andre Miller,andre miller,1999,1999-2003,2003-2006,Sleeper,Sleeper,1,1.0,0.9868549,0.010360867,0.0027841944,High,0.9868549,0.01314510000000002,Train,43.64279637136351,,,36.61326907679477,40.70182196904416,72.1338068981157,52.36605149467564,16.399032418187286,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Andre Roberson,andre roberson,,,,Neutral,,0,,0.0020591074,0.57443094,0.4235099,Medium,0.57443094,0.42556906000000005,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
200745.0,Andrea Bargnani,andrea bargnani,2005,2006-2010,2010-2013,Bust,Bust,1,1.0,0.006019532,0.15700836,0.8369721,High,0.8369721,0.1630279,Train,34.075547545896654,,,61.596254995839786,34.08999162660756,11.339417545723526,42.11612565644408,21.2359479048683,,,,,,11.666666666666666,334.168889,147.66666666666666,42.666666666666664,12.666666666666666,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
1905.0,Andrei Kirilenko,andrei kirilenko,2000,2001-2005,2005-2008,Neutral,Neutral,1,1.0,0.0025534807,0.9830178,0.014428728,High,0.9830178,0.016982199999999947,Train,50.95135084893816,,,29.36237452194305,56.124502978534416,37.36921468560643,100.0,31.90066205860692,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Andres Nocioni,andres nocioni,,,,Neutral,Bust,1,0.0,0.00034342054,0.95306265,0.046593897,High,0.95306265,0.04693734999999999,,,,,,,,,,,,,,,,,,,,,,,label_known,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
101106.0,Andrew Bogut,andrew bogut,2004,2005-2009,2009-2012,Neutral,Neutral,1,1.0,0.038082033,0.8611441,0.1007739,High,0.8611441,0.13885590000000003,Train,49.41882115999226,,,39.9186907984189,30.19941099541452,18.01559780651637,90.479613478374,68.48079272123752,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
