feature_name,coefficient,abs_coefficient,selected_model
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Interior Finishers,0.00053490674600134,0.00053490674600134,ridge_alpha_10
num__shot_emb_24,-0.0004638378262815403,0.0004638378262815403,ridge_alpha_10
num__pca_24,0.00045251333333281733,0.00045251333333281733,ridge_alpha_10
cat__macro_cluster_id_3,-0.0004330067354442317,0.0004330067354442317,ridge_alpha_10
num__shot_style_prob_1,-0.0003916093422008167,0.0003916093422008167,ridge_alpha_10
num__shot_emb_23,0.00035087381076343114,0.00035087381076343114,ridge_alpha_10
cat__hybrid_archetype_label_Low-Usage Interior Bigs | Arc-Heavy Spacers,-0.000280233811915426,0.000280233811915426,ridge_alpha_10
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Arc-Heavy Spacers,-0.0002753375322324905,0.0002753375322324905,ridge_alpha_10
num__pca_20,0.00020761030812606776,0.00020761030812606776,ridge_alpha_10
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Rim Pressure Drivers,-3.4623916616716885e-05,3.4623916616716885e-05,ridge_alpha_10
