row_id,weighted_mse_total,attempt_mse,attempt_mass_in,attempt_mass_recon,attempt_corr,made_mse,made_mass_in,made_mass_recon,made_corr,rate_mse,rate_mass_in,rate_mass_recon,rate_corr
2209,0.005396227817982435,5.531025453819893e-05,1.0,1.0,0.14754815168800164,1.9400904420763254e-05,0.30000001192092896,0.4215320646762848,0.18789346957360753,0.015964549034833908,102.57266235351562,111.46372985839844,0.9028655435699174
123,0.005414041690528393,0.00010392547847004607,0.9999999403953552,0.9999999403953552,0.17633924630397324,4.20657052018214e-05,0.4105960726737976,0.4184074401855469,0.17441954991633016,0.015804151073098183,135.8663330078125,129.7470245361328,0.8627032453663928
873,0.005438942462205887,9.010003122966737e-05,1.0000001192092896,1.0,0.15691503402371856,3.736808503163047e-05,0.43888890743255615,0.43677598237991333,0.16711321572508234,0.015934424474835396,192.8059539794922,181.0706024169922,0.8912807401665123
519,0.005445277318358421,0.00029742030892521143,1.0000001192092896,0.9999999403953552,0.14981587310963873,9.70824621617794e-05,0.5,0.4715207517147064,0.15148414837647062,0.015152325853705406,151.68783569335938,149.64862060546875,0.9224383708774821
603,0.005453818943351507,0.00027930110809393227,1.0,1.0,0.128398548428123,7.9807206930127e-05,0.4472843110561371,0.41246187686920166,0.13633620104007754,0.015284132212400436,160.10324096679688,152.77716064453125,0.8722154461923091
1686,0.005460679065436125,0.00011842774983961135,1.0,1.0,0.1694469191055447,6.597476749448106e-05,0.6000000238418579,0.562922477722168,0.15391031706341468,0.015828829258680344,214.97409057617188,205.96054077148438,0.9451021585012961
538,0.005461070220917463,0.0001291805092478171,1.0,1.0000001192092896,0.16850155229799588,5.581571895163506e-05,0.5085470676422119,0.4510306417942047,0.18149134311263032,0.015828222036361694,178.96719360351562,169.34439086914062,0.8907534761491347
941,0.005466107279062271,0.00027413040515966713,1.0,1.0000001192092896,0.21126523166050779,0.00011158374400110915,0.6052631735801697,0.5500720739364624,0.18514149809488623,0.015241178683936596,163.9236602783203,153.53643798828125,0.9464921100630813
517,0.005470381584018469,0.0003778745303861797,1.0,1.0,0.13733287442786996,9.339866664959118e-05,0.45652174949645996,0.458701491355896,0.1366748242922561,0.014997324906289577,148.1583709716797,142.78993225097656,0.9099236378345245
1423,0.005477632861584425,1.2756904652633239e-05,1.0,1.0,0.28484847143632586,3.965581527154427e-06,0.48986488580703735,0.49154406785964966,0.293423015181223,0.0163827296346426,241.23141479492188,230.28460693359375,0.8770768821020746
888,0.0054874112829566,9.97602692223154e-05,1.0,1.0000001192092896,0.13352795955427632,3.907897917088121e-05,0.46338212490081787,0.4541111886501312,0.15219014635210226,0.016045715659856796,219.56832885742188,214.98770141601562,0.8129314439132682
2498,0.00549353240057826,5.842146128998138e-05,1.0,1.0,0.23074919035032604,2.580165528343059e-05,0.45605698227882385,0.40016546845436096,0.272148762236954,0.016227927058935165,168.2417755126953,159.77391052246094,0.8262821519427894
1774,0.005501863546669483,4.4074560719309375e-05,1.0,1.0,0.21836457668996256,1.2974506717000622e-05,0.4501718580722809,0.39045247435569763,0.3104740250446494,0.016334444284439087,152.98660278320312,149.41668701171875,0.8359897913830568
2875,0.005520849023014307,0.00012135453289374709,0.9999999403953552,1.0000001192092896,0.13269680696558875,6.710761226713657e-05,0.5451127886772156,0.452637642621994,0.1606230182635005,0.015997162088751793,174.9796142578125,165.17401123046875,0.8977408284961449
2314,0.00555651867762208,4.329175499151461e-05,1.0,1.0000001192092896,0.2579889469946026,1.7331842173007317e-05,0.43283581733703613,0.4629059433937073,0.26114852898232926,0.01648768223822117,182.20565795898438,172.75106811523438,0.8901135573561686
