PLAYER_ID,PLAYER_NAME,season_num,season_string,DRAFT_YEAR,games_with_shots,shot_attempts,shot_makes,fg_pct,split,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
1894,Corey Maggette,4,2002-03,1999,64,772,343,0.444300518134715,train,16.92743,5.3523226,-4.4187694,8.702263,0.94535094,2.6311646,8.064908,-4.8010225,7.4548464,1.0628779,-7.0169067,8.021683,13.79661,-16.302025,-3.867234,-10.562524,-4.682657,0.9484991,4.5538487,-6.746393,2.0082097,6.6298065,-0.25323486,-4.6887836
1895,William Avery,1,1999-00,1999,49,180,56,0.3111111111111111,train,7.49732,7.5052633,-6.9883976,8.393173,3.0404928,-1.4799675,0.6750803,-7.905607,10.838924,1.6522977,-3.4267137,6.3489933,7.2551656,-14.78361,-4.969347,-8.917557,-12.417095,7.0384083,1.4838413,-5.631975,-5.5317965,8.867683,5.347874,0.89882696
1895,William Avery,2,2000-01,1999,44,142,55,0.3873239436619718,train,4.830528,-2.087494,-14.289532,8.878775,3.6564586,11.654259,-3.4892986,-11.162887,-1.231186,2.441283,-3.7891297,-1.0174665,10.259079,-17.271172,-0.10118806,-11.850001,-1.5684204,10.45406,-7.0916023,11.629378,-2.1935172,1.3159947,7.9690714,-3.3475251
1895,William Avery,3,2001-02,1999,23,89,26,0.2921348314606741,train,10.83244,7.0629377,-4.559567,7.993787,11.930691,-3.0253692,3.459767,-11.7392845,2.8249314,-1.4509683,-6.793848,3.1978872,13.222218,-13.259459,-7.393951,-5.4946084,-4.225147,-2.5233862,-3.6896086,-3.5755267,-8.314913,5.3305893,-1.0622047,3.3718493
1897,Metta World Peace,1,1999-00,1999,72,758,309,0.4076517150395778,train,6.866531,8.684456,-11.477406,10.809267,3.412421,1.1119344,5.3704405,-8.971404,6.0692034,1.5662758,-9.727746,2.5725727,8.436425,-15.004887,-6.382792,-7.143447,-9.285057,12.66692,5.2280693,0.7874667,-2.674441,10.271504,1.5522379,1.7676194
1897,Metta World Peace,2,2000-01,1999,76,814,327,0.4017199017199017,train,10.8587265,7.331274,-7.961769,7.0950775,2.8668118,-1.1012962,2.5706851,-8.57034,4.474936,-0.790493,-6.0213385,3.6784914,6.1040325,-16.5434,-8.003943,-7.33941,-8.058482,-1.5956979,1.7102915,-6.544938,-2.7977781,11.910152,2.1025114,-1.2879574
1897,Metta World Peace,3,2001-02,1999,55,636,269,0.4229559748427673,train,5.9600677,6.7086887,-6.490056,12.743284,2.3417895,1.5306367,7.5786057,-4.4932604,7.7681484,0.7126819,-16.030445,3.38901,12.609476,-8.81243,0.45816964,-4.507411,-9.980274,11.7373085,0.8457869,0.13872166,1.9004571,7.071123,-5.416274,0.16832638
1897,Metta World Peace,4,2002-03,1999,69,846,362,0.4278959810874704,train,15.216045,6.9255342,-6.9966927,9.758549,0.5635897,4.2462378,8.062128,-6.3849955,6.2662086,2.442764,-5.923133,5.8938117,9.849458,-13.637989,-3.0016286,-10.98805,-7.4005203,3.300497,6.5692444,-3.5806737,0.14805079,7.9283266,1.2466835,-2.0207348
1898,Cal Bowdler,1,1999-00,1999,36,115,49,0.4260869565217391,train,7.659039,7.6465235,-3.5322955,3.4457989,3.5312567,0.9006437,10.393892,-14.37841,1.8931917,-3.7736676,-21.293308,4.971274,3.3688588,-15.198154,-6.7169065,-7.677639,-10.678183,14.493507,4.1458716,0.050963044,-14.809114,3.6280532,-1.7620287,8.313234
1898,Cal Bowdler,2,2000-01,1999,31,114,53,0.4649122807017544,train,11.840483,4.9000583,-9.574553,13.564868,8.150434,-7.813981,10.17001,-6.156986,1.8512912,-2.6148815,-9.690744,5.5877514,3.7537227,-9.409433,-3.4950123,-1.7932155,-7.7427025,-2.3810954,6.406716,0.09564364,-14.752978,17.585129,-1.7935367,0.40907717
